id,index,width,unihex,height,xoffset,yoffset,xadvance,chnl,x,y,page
125,667,47,U007D,122,-8,7,36,15,0,0,0
123,666,47,U007B,122,-3,7,36,15,0,123,0
93,669,39,U005D,115,-9,10,29,15,0,246,0
91,668,39,U005B,115,-1,10,29,15,0,362,0
41,671,44,U0029,114,-9,10,34,15,0,478,0
40,670,44,U0028,114,-1,10,34,15,40,246,0
92,649,62,U005C,113,-14,10,38,15,40,361,0
47,664,62,U002F,113,-10,10,38,15,48,0,0
106,184,39,U006A,112,-9,18,27,15,48,114,0
64,747,94,U0040,109,-3,19,89,15,85,227,0
124,755,30,U007C,108,-1,10,28,15,88,114,0
36,696,68,U0024,108,-6,9,58,15,111,0,0
87,119,102,U0057,91,-9,18,85,15,119,109,0
48,630,61,U0030,93,-3,17,55,15,180,0,0
81,88,76,U0051,93,-3,17,66,15,0,593,0
54,636,60,U0036,92,-4,18,51,15,45,475,0
51,633,62,U0033,92,-6,17,53,15,103,337,0
53,635,60,U0035,92,-3,18,54,15,0,687,0
37,745,79,U0025,92,-5,17,69,15,0,780,0
56,638,63,U0038,92,-3,17,56,15,61,687,0
57,639,60,U0039,92,-4,17,51,15,77,568,0
121,246,65,U0079,92,-8,38,48,15,106,430,0
63,659,57,U003F,92,-8,17,43,15,166,337,0
113,215,60,U0071,92,-4,37,54,15,180,201,0
67,16,69,U0043,92,-3,17,62,15,222,94,0
71,42,70,U0047,92,-3,17,65,15,242,0,0
74,57,60,U004A,92,-9,18,51,15,0,873,0
79,73,70,U004F,92,-3,17,65,15,61,873,0
38,748,77,U0026,92,-4,17,65,15,80,780,0
83,93,72,U0053,92,-6,17,62,15,125,661,0
85,104,70,U0055,92,-2,18,66,15,138,523,0
112,213,60,U0070,92,-2,38,54,15,172,430,0
98,142,60,U0062,92,-2,18,54,15,224,294,0
50,632,61,U0032,92,-5,17,52,15,241,187,0
103,169,60,U0067,92,-4,37,54,15,292,93,0
100,149,60,U0064,92,-4,18,54,15,313,0,0
78,67,72,U004E,91,-1,18,70,15,132,873,0
68,21,70,U0044,91,-1,18,66,15,158,754,0
69,27,66,U0045,91,-1,18,60,15,198,616,0
70,40,65,U0046,91,-1,18,56,15,209,523,0
33,655,30,U0021,91,-2,18,27,15,233,387,0
72,46,70,U0048,91,-1,18,68,15,264,387,0
73,48,30,U0049,91,-1,18,28,15,285,280,0
119,244,91,U0077,71,-7,38,77,15,303,186,0
75,58,74,U004B,91,-1,18,64,15,353,93,0
76,61,66,U004C,91,-1,18,57,15,374,0,0
77,66,80,U004D,91,-1,18,78,15,316,258,0
104,173,61,U0068,91,-2,18,56,15,205,846,0
109,193,91,U006D,71,-2,38,86,15,395,185,0
80,86,69,U0050,91,-1,18,62,15,428,92,0
108,188,38,U006C,91,-2,18,29,15,441,0,0
82,89,72,U0052,91,-1,18,65,15,480,0,0
107,185,65,U006B,91,-2,18,53,15,229,708,0
84,100,70,U0054,91,-11,18,48,15,265,615,0
52,634,66,U0034,91,-4,18,57,15,275,479,0
86,116,76,U0056,91,-9,18,59,15,335,350,0
105,175,30,U0069,91,-2,18,25,15,397,257,0
88,120,75,U0058,91,-9,18,57,15,267,800,0
89,121,73,U0059,91,-11,18,50,15,295,707,0
90,125,64,U005A,91,-4,18,54,15,336,571,0
35,657,75,U0023,91,-6,18,62,15,342,442,0
49,631,40,U0031,91,-6,18,33,15,412,349,0
65,2,81,U0041,91,-8,18,65,15,428,257,0
102,168,45,U0066,91,-6,18,32,15,498,92,0
66,14,70,U0042,91,-1,18,65,15,267,892,0
55,637,59,U0037,91,-5,18,50,15,338,892,0
59,663,30,U003B,87,-4,38,23,15,343,799,0
116,227,43,U0074,86,-6,24,33,15,205,938,0
97,130,61,U0061,72,-5,38,53,15,487,184,0
115,220,63,U0073,72,-6,38,52,15,544,92,0
101,155,61,U0065,72,-4,38,54,15,553,0,0
111,200,62,U006F,72,-4,38,54,15,369,663,0
99,144,60,U0063,72,-4,38,50,15,401,534,0
120,245,66,U0078,71,-7,38,52,15,418,441,0
118,243,66,U0076,71,-8,38,50,15,453,349,0
117,231,60,U0075,71,-2,38,56,15,510,257,0
110,194,61,U006E,71,-2,38,56,15,549,165,0
114,216,54,U0072,71,-2,38,43,15,608,73,0
122,250,58,U007A,71,-4,38,49,15,615,0,0
58,652,30,U003A,71,-4,38,23,15,374,736,0
95,665,61,U005F,29,-9,89,44,15,132,965,0
60,740,53,U003C,60,-7,37,42,15,374,808,0
62,739,53,U003E,60,-3,37,43,15,405,736,0
43,735,60,U002B,60,-3,36,53,15,432,607,0
94,760,59,U005E,47,-4,13,50,15,0,966,0
126,742,58,U007E,36,-3,48,51,15,342,534,0
42,648,58,U002A,56,-7,12,43,15,60,966,0
45,675,53,U002D,29,-2,59,48,15,119,995,0
61,738,53,U003D,45,-3,44,46,15,432,668,0
44,653,30,U002C,47,-4,79,23,15,401,607,0
34,661,45,U0022,45,-4,18,38,15,462,513,0
39,662,30,U0027,45,-6,18,18,15,198,708,0
96,810,41,U0060,42,-6,6,29,15,233,479,0
46,658,30,U002E,30,-4,79,23,15,106,523,0
32,1,0,U0020,0,-10,89,27,15,395,257,0